// Note average FPS was incorrectly divided by 12 instead of 10. Processed data fixes this mistake and formats the data better for a csv
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:2000000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:23.9344, Data: 27.1068, 27.675, 27.9388, 28.5352, 28.7898, 29.6516, 29.4209, 29.4696, 29.2728, 29.352, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:5000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1822.38, Data: 1911.97, 2095.81, 2224.5, 2218.96, 2287.28, 2255.69, 2295.51, 2271.47, 2141.03, 2166.35, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:10000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1625.5, Data: 2243.81, 2265.32, 1891.83, 1906.66, 1951.47, 1845.72, 1852.76, 1905.78, 1816.31, 1826.37, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:25000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1510.85, Data: 1908.83, 1812.26, 1800.12, 1831.78, 1822.53, 1809.14, 1805.82, 1783.23, 1797.07, 1759.38, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:50000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1626.79, Data: 1978.46, 1962.87, 1982.51, 1965.5, 1963.34, 1944.91, 1941.96, 1961.65, 1907.38, 1912.87, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:100000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1273.03, Data: 1551.95, 1567.43, 1540.78, 1541.92, 1519.52, 1545.46, 1503.8, 1534.35, 1505.44, 1465.74, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:250000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:621.847, Data: 714.933, 731.054, 716.379, 735.893, 741.983, 768.98, 764.974, 764.118, 760.063, 763.786, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:500000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:258.55, Data: 284.994, 287.301, 295.657, 308.935, 311.899, 323.616, 322.925, 322.5, 321.51, 323.262, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:1000000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:84.0163, Data: 98.2385, 99.6133, 101.481, 101.201, 100.755, 100.783, 100.656, 101.572, 101.923, 101.973, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 1, Boid Count:2000000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:24.9008, Data: 28.082, 28.5576, 28.7664, 28.8247, 29.8837, 30.4189, 30.9117, 31.0751, 31.1418, 31.1473, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:5000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:921.973, Data: 1082.74, 1090.05, 1090.12, 1083.07, 1115.89, 1124.81, 1114.78, 1118.72, 1121.66, 1121.83, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:10000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:526.124, Data: 629.244, 632.135, 630.593, 631.557, 631.257, 631.498, 632.14, 630.145, 632.945, 631.973, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:25000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:145.778, Data: 172.147, 162.901, 170.941, 175.592, 178.304, 178.194, 178.954, 175.728, 177.619, 178.962, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:50000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:40.4481, Data: 46.3548, 47.3977, 48.1934, 48.7693, 48.9839, 49.3091, 48.787, 49.2916, 49.3059, 48.9841, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:100000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:10.4278, Data: 12.2488, 12.6021, 12.5333, 12.5288, 12.5656, 12.609, 12.4778, 12.5725, 12.4805, 12.5154, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:250000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1.71076, Data: 2.05106, 2.05523, 2.0516, 2.06039, 2.07269, 2.05321, 2.04433, 2.05202, 2.03205, 2.05655, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:500000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:0.430889, Data: 0.523279, 0.522647, 0.500199, 0.516197, 0.518434, 0.515223, 0.516985, 0.520278, 0.512097, 0.525336, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:5000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:916.846, Data: 1097.54, 1099.46, 1103.25, 1098.8, 1099.38, 1108.6, 1093.74, 1103.04, 1109.99, 1088.35, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:10000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:485.069, Data: 583.02, 581.929, 584.453, 583.926, 577.101, 580.826, 581.182, 583.056, 585.971, 579.365, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:25000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:147.302, Data: 170.083, 173.958, 176.819, 175.642, 177.96, 181.999, 177.305, 178.417, 178.979, 176.456, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:50000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:38.4509, Data: 44.8851, 44.6897, 45.5926, 46.8329, 46.5963, 46.7622, 46.3921, 46.8515, 46.213, 46.5952, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:50000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:39.324, Data: 46.7472, 45.1565, 48.2483, 47.4793, 47.4075, 47.3493, 47.8154, 46.892, 47.4421, 47.351, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:100000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:10.5032, Data: 12.23, 12.5457, 12.581, 12.4251, 12.8286, 12.5873, 12.7958, 12.6084, 12.6164, 12.8195, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:250000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1.70363, Data: 2.02673, 1.97155, 1.98797, 2.05779, 2.07261, 2.07376, 2.05508, 2.06145, 2.06775, 2.06886, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:500000, Block Size: 256, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:0.434654, Data: 0.523365, 0.526024, 0.522407, 0.526864, 0.517421, 0.521357, 0.523765, 0.521845, 0.520419, 0.512376, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:5000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:560.455, Data: 672.789, 671.352, 668.659, 675.69, 671.554, 675.439, 677.908, 671.323, 669.496, 671.252, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:10000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:304.98, Data: 369.978, 361.085, 365.576, 366.759, 366.83, 366.754, 363.801, 365.509, 363.474, 369.991, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:25000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:128.037, Data: 149.705, 151.135, 152.512, 154.409, 155.8, 152.224, 158.956, 150.293, 156.034, 155.374, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:50000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:33.0318, Data: 38.4245, 38.5967, 39.462, 39.8591, 40.0364, 39.9981, 40.2485, 39.9693, 39.8459, 39.9413, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:100000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:10.2463, Data: 11.9107, 12.2756, 12.2755, 12.4296, 12.4188, 12.387, 12.2511, 12.3968, 12.3887, 12.2221, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:250000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1.69728, Data: 1.99547, 2.03462, 2.0435, 2.04844, 2.05452, 2.02696, 2.0422, 2.03615, 2.03831, 2.04718, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:500000, Block Size: 1024, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:0.419625, Data: 0.500432, 0.504942, 0.507526, 0.501575, 0.503762, 0.503793, 0.505402, 0.503419, 0.504233, 0.50042, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:5000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:843.579, Data: 1007.88, 1009.03, 1022.92, 1008.89, 1005.67, 1014.68, 1013.81, 1012.3, 1013.48, 1014.28, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:10000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:474.288, Data: 569.885, 565.818, 567.097, 570.151, 571.253, 572.927, 567.29, 569.302, 568.444, 569.284, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:25000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:123.685, Data: 143.796, 144.272, 149.685, 149.499, 148.498, 150.478, 149.669, 148.796, 149.564, 149.961, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:50000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:39.198, Data: 44.9368, 45.5107, 45.8552, 46.9578, 48.3569, 47.8196, 47.344, 48.0342, 47.7437, 47.8169, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:100000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:10.1111, Data: 12.049, 11.9834, 12.1233, 12.2167, 12.0312, 12.1721, 12.3551, 11.9419, 12.2617, 12.1984, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:250000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1.71866, Data: 2.02584, 2.0528, 2.06442, 2.09415, 2.07748, 2.06726, 2.02688, 2.07249, 2.06598, 2.07659, 
Visualize: 0, Uniform Grid: 0, Coherent_Grid: 0, Boid Count:500000, Block Size: 512, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:0.429971, Data: 0.519183, 0.519409, 0.516075, 0.519777, 0.520327, 0.513647, 0.515789, 0.514795, 0.513245, 0.507399, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:5000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1752.71, Data: 2008.51, 2088.94, 2078.96, 2037.31, 2194.68, 2140.31, 2129.36, 2136.22, 2162.35, 2055.83, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:10000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1481.87, Data: 2056.57, 2006.45, 1839.61, 1832.49, 1844.32, 1711.77, 1645.67, 1648.96, 1593.89, 1602.65, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:25000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:1246.88, Data: 1541.85, 1496.7, 1585.65, 1531.34, 1513.45, 1493.26, 1453.34, 1469.47, 1443.89, 1433.63, 
Visualize: 0, Uniform Grid: 1, Coherent_Grid: 0, Boid Count:50000, Block Size: 64, Grid Looping Optimization: 0, Grid Width Scale: 2, Average FPS:820.156, Data: 889.846, 950.688, 936.338, 970.629, 1040.77, 1002.37, 1061.85, 1039.35, 992.687, 957.341, 
